state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Maryland,baltimore,White / Caucasian,26-35,Single,Doctorate,White / Caucasian,46-55,Divorced,Bachelor Degree,More than 1 year,3-4,Yes,6.0,6.0,6.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,3.5,1575.0,450.0
Maryland,Gaithersburg,White / Caucasian,36-45,Single,Masters,White / Caucasian,56-65,Married,Masters,10-12 months,5-6,Yes,10.0,10.0,10.0,Monthly Allowance,,$10k or more,sugar_daddy,5.5,10000.0,1818.1818181818182
Virginia,Arlington,White / Caucasian,36-45,Married,Some College,White / Caucasian,36-45,Married,Bachelor Degree,More than 1 year,10+,Yes,10.0,10.0,10.0,Monthly Allowance,,"$1k- $1,999",sugar_daddy,10.0,1500.0,150.0
Virginia,Alexandria,Asian,18-25,Single,Some College,White / Caucasian,46-55,Divorced,Doctorate,4-6 months,9-10,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),< $300,,sugar_daddy,9.5,1425.0,150.0
Virginia,richmond,Latin / Hispanic,36-45,Single,Bachelor Degree,White / Caucasian,46-55,Single,Masters,Less than a month,3-4,Yes,8.0,8.0,8.0,Monthly Allowance,,"$1k- $1,999",sugar_daddy,3.5,1500.0,428.57142857142856
Virginia,Tysons,Latin / Hispanic,26-35,Single,Bachelor Degree,White / Caucasian,66-75,Married,Doctorate,1-3 months,3-4,Yes,9.0,8.0,7.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,3.5,1575.0,450.0
Virginia,Fairfax,Mixed,26-35,Single,Bachelor Degree,Black/African Descent,26-35,Single,Masters,7-9 months,3-4,No,8.0,5.0,8.0,Weekly Allowance,$500-$599,,sugar_daddy,3.5,2200.0,628.5714285714286
Virginia,Arlington,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Doctorate,More than 1 year,3-4,Yes,9.0,9.0,9.0,Monthly Allowance,,"$4k-$4,999",sugar_daddy,3.5,4500.0,1285.7142857142858
Virginia,Annandale,Asian,36-45,Married,Masters,White / Caucasian,36-45,Married,Bachelor Degree,More than 1 year,1-2,No,2.0,2.0,5.0,Monthly Allowance,,"$1k- $1,999",sugar_daddy,1.5,1500.0,1000.0
Virginia,Chantilly,White / Caucasian,18-25,Single,Bachelor Degree,East Indian,46-55,Married,Masters,Less than a month,1-2,No,6.0,6.0,6.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,1.5,675.0,450.0
Virginia,Mclean,White / Caucasian,36-45,Separated,High School Diploma,East Indian,46-55,Married,Masters,More than 1 year,3-4,Yes,6.0,9.0,5.0,Monthly Allowance,,"$6k-$6,999",sugar_daddy,3.5,6500.0,1857.142857142857
Virginia,Arlington,Latin / Hispanic,26-35,Open Relationship,Bachelor Degree,White / Caucasian,46-55,Married,Doctorate,More than 1 year,1-2,Yes,9.0,8.0,8.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,1.5,675.0,450.0
Virginia,Tysons,White / Caucasian,26-35,Single,Masters,White / Caucasian,66-75,Married,Masters,More than 1 year,1-2,Yes,9.0,8.0,8.0,Pay Per Meet (PPM),$500-$599,,sugar_daddy,1.5,825.0,550.0
Virginia,Tyson's,Asian,36-45,Married,Bachelor Degree,Asian,36-45,Married,Masters,More than 1 year,1-2,Yes,10.0,10.0,10.0,Monthly Allowance,,"$1k- $1,999",sugar_daddy,1.5,1500.0,1000.0
Virginia,Virginia,White / Caucasian,26-35,Single,Some College,East Indian,26-35,Open Relationship,Masters,1-3 months,3-4,Yes,7.0,5.0,7.0,Pay Per Meet (PPM),$300-$399,,sugar_daddy,3.5,1225.0,350.0
Virginia,Fairfax,Mixed,18-25,Single,Some College,White / Caucasian,26-35,Married,Masters,1-3 months,1-2,Yes,8.0,8.0,8.0,Gifts and Experiences,,"$1k- $1,999",sugar_daddy,1.5,1500.0,1000.0
Virginia,Great Falls,White / Caucasian,26-35,Single,Associate Degree,White / Caucasian,76+,Separated,Masters,More than 1 year,3-4,Yes,10.0,10.0,10.0,Monthly Allowance,,"$6k-$6,999",sugar_daddy,3.5,6500.0,1857.142857142857
Virginia,Chesapeake,White / Caucasian,26-35,Married,Associate Degree,White / Caucasian,36-45,Open Relationship,Bachelor Degree,More than 1 year,1-2,Yes,10.0,8.0,7.0,Pay Per Meet (PPM),< $300,,sugar_daddy,1.5,225.0,150.0
Virginia,Chantilly,East Indian,26-35,Divorced,Bachelor Degree,East Indian,36-45,Married,Masters,1-3 months,1-2,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,1.5,675.0,450.0
Virginia,Fairfax,White / Caucasian,36-45,Single,Masters,Middle Eastern,36-45,Single,Bachelor Degree,4-6 months,3-4,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_daddy,3.5,5250.0,1500.0
Virginia,Arlington,White / Caucasian,36-45,Single,Doctorate,White / Caucasian,56-65,Divorced,Doctorate,4-6 months,3-4,Yes,8.0,8.0,8.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_daddy,3.5,5250.0,1500.0
Virginia,Fairfax,Asian,18-25,Single,Bachelor Degree,East Indian,46-55,Married,Masters,4-6 months,3-4,No,5.0,6.0,5.0,Monthly Allowance,,"$2k-$2,999",sugar_daddy,3.5,2500.0,714.2857142857143
Virginia,Norfolk,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,36-45,Single,Masters,1-3 months,3-4,Yes,8.0,7.0,7.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,3.5,1575.0,450.0
Virginia,Leesburg,White / Caucasian,26-35,Single,Masters,White / Caucasian,26-35,Single,Masters,7-9 months,1-2,No,2.0,6.0,4.0,Pay Per Meet (PPM),$500-$599,,sugar_daddy,1.5,825.0,550.0
Virginia,Tysonâs,,18-25,Open Relationship,Some College,White / Caucasian,26-35,Married,Masters,4-6 months,3-4,Yes,10.0,10.0,8.0,Pay Per Meet (PPM),$800-$899,,sugar_daddy,3.5,2975.0,850.0
