state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
New York,Manhattan,Black/African Descent,18-25,Single,Bachelor Degree,White / Caucasian,26-35,Single,Bachelor Degree,Less than a month,1-2,Yes,5.0,1.0,10.0,Weekly Allowance,$300-$399,,sugar_baby,1.5,1400.0,933.3333333333334
New York,Albany,White / Caucasian,36-45,Single,Associate Degree,White / Caucasian,36-45,Married,Masters,More than 1 year,10+,No,9.0,5.0,6.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,10.0,3500.0,350.0
New York,New york,Asian,18-25,Single,Bachelor Degree,White / Caucasian,46-55,Single,Bachelor Degree,1-3 months,3-4,No,4.0,1.0,1.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,3.5,1225.0,350.0
New York,New york,White / Caucasian,26-35,Single,Bachelor Degree,Various SR,36-45,Divorced,Bachelor Degree,1-3 months,3-4,Yes,8.0,7.0,5.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,3.5,4500.0,1285.7142857142858
New York,New York,White / Caucasian,18-25,Single,Masters,White / Caucasian,36-45,Separated,Masters,Less than a month,1-2,No,5.0,5.0,3.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,1.5,525.0,350.0
New York,Rochester,Asian,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Married,Masters,More than 1 year,1-2,No,10.0,10.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,1.5,2250.0,1500.0
New York,Ithaca,Asian,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Divorced,Masters,More than 1 year,1-2,No,9.0,9.0,10.0,Pay Per Meet (PPM),$700-$799,,sugar_baby,1.5,1125.0,750.0
New York,Nyc,Latin / Hispanic,18-25,Single,Bachelor Degree,Latin / Hispanic,36-45,Single,High School Diploma,1-3 months,5-6,Yes,9.0,8.0,9.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,5.5,2500.0,454.54545454545456
New York,New york,White / Caucasian,18-25,Open Relationship,Some College,White / Caucasian,36-45,Married,Masters,Less than a month,1-2,Yes,9.0,9.0,8.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,1.5,2250.0,1500.0
New York,Queens,Latin / Hispanic,18-25,Single,Some College,White / Caucasian,56-65,Divorced,Doctorate,Less than a month,3-4,No,8.0,7.0,10.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
New York,Queens,Black/African Descent,18-25,Single,Some College,White / Caucasian,36-45,Separated,Bachelor Degree,Less than a month,3-4,No,5.0,4.0,5.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
New York,New York,White / Caucasian,18-25,Single,Masters,White / Caucasian,36-45,Single,Bachelor Degree,Less than a month,3-4,Yes,8.0,8.0,8.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
New York,New York,White / Caucasian,18-25,Single,Bachelor Degree,,36-45,Single,Masters,Less than a month,3-4,Yes,5.0,4.0,4.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
