state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Louisiana,Houma,White / Caucasian,18-25,Open Relationship,Some College,White / Caucasian,36-45,Open Relationship,Some College,More than 1 year,5-6,Yes,10.0,10.0,10.0,Weekly Allowance,$800-$899,,sugar_baby,5.5,3400.0,618.1818181818181
Louisiana,Lake charles,White / Caucasian,18-25,Single,Some College,Black/African Descent,26-35,Single,Associate Degree,Less than a month,1-2,No,8.0,7.0,9.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Louisiana,New Orleans,Middle Eastern,26-35,Single,Masters,,46-55,Married,Bachelor Degree,Less than a month,3-4,Yes,8.0,5.0,6.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
Louisiana,New Orleans,White / Caucasian,18-25,Open Relationship,Bachelor Degree,White / Caucasian,66-75,Widow,Bachelor Degree,Less than a month,1-2,Yes,7.0,7.0,8.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Louisiana,baton rouge,Black/African Descent,26-35,Single,Some College,White / Caucasian,56-65,Single,Some College,Less than a month,3-4,Yes,6.0,5.0,4.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
Louisiana,New Orleans,White / Caucasian,18-25,Open Relationship,Bachelor Degree,White / Caucasian,66-75,Widow,Bachelor Degree,Less than a month,1-2,No,7.0,7.0,7.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Louisiana,Alexandria,White / Caucasian,26-35,Single,Less than High School,White / Caucasian,56-65,Married,Associate Degree,1-3 months,3-4,Yes,7.0,7.0,5.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
Louisiana,Lake Charles,Mixed,18-25,Single,Some College,White / Caucasian,36-45,Single,Doctorate,More than 1 year,10+,No,4.0,9.0,10.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,10.0,5500.0,550.0
Louisiana,Baton Rouge,White / Caucasian,18-25,Single,Some College,White / Caucasian,36-45,Divorced,Associate Degree,1-3 months,1-2,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,1.5,2250.0,1500.0
Louisiana,New orleans,Mixed,18-25,Single,Bachelor Degree,White / Caucasian,46-55,Married,Bachelor Degree,Less than a month,3-4,No,10.0,10.0,9.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
Mississippi,Hattiesburg,White / Caucasian,46-55,Widow,Associate Degree,White / Caucasian,56-65,Divorced,Some College,More than 1 year,1-2,No,6.0,1.0,3.0,Pay Per Meet (PPM),< $300,,sugar_baby,1.5,225.0,150.0
North Carolina,Chapel Hill,White / Caucasian,36-45,Single,Bachelor Degree,White / Caucasian,56-65,Divorced,Bachelor Degree,1-3 months,1-2,Yes,6.0,5.0,5.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,1.5,975.0,650.0
North Carolina,Asheville,White / Caucasian,36-45,Divorced,Some College,White / Caucasian,26-35,Single,Some College,1-3 months,3-4,No,8.0,8.0,10.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,3.5,2275.0,650.0
North Carolina,Asheville,White / Caucasian,36-45,Divorced,Some College,White / Caucasian,46-55,Married,Bachelor Degree,1-3 months,1-2,No,8.0,8.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,1.5,2250.0,1500.0
North Carolina,Charlotte,Black/African Descent,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Open Relationship,Doctorate,More than 1 year,3-4,Yes,8.0,10.0,10.0,Weekly Allowance,"$1k - $1,999",,sugar_baby,3.5,6000.0,1714.2857142857142
North Carolina,Charlotte,White / Caucasian,26-35,Single,Masters,Asian,46-55,Divorced,Bachelor Degree,4-6 months,3-4,Yes,7.0,4.0,3.0,Pay Per Meet (PPM),< $300,,sugar_baby,3.5,525.0,150.0
North Carolina,Greensboro,White / Caucasian,18-25,Single,Some College,Asian,26-35,Single,Bachelor Degree,1-3 months,3-4,No,7.0,6.0,6.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,3.5,2275.0,650.0
North Carolina,Greensboro,Black/African Descent,18-25,Single,Some College,White / Caucasian,26-35,Open Relationship,Bachelor Degree,1-3 months,3-4,Yes,9.0,6.0,9.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
North Carolina,Greensboro,Black/African Descent,18-25,Single,Some College,East Indian,36-45,Divorced,Bachelor Degree,Less than a month,3-4,No,4.0,5.0,4.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
North Carolina,Greensboro,Black/African Descent,18-25,Single,Some College,White / Caucasian,36-45,Married,Bachelor Degree,7-9 months,1-2,No,10.0,8.0,9.0,Pay Per Meet (PPM),$700-$799,,sugar_baby,1.5,1125.0,750.0
North Carolina,Greensboro,Black/African Descent,18-25,Single,Some College,White / Caucasian,36-45,Married,Bachelor Degree,1-3 months,1-2,Yes,8.0,4.0,4.0,Gifts and Experiences,,"$1k- $1,999",sugar_baby,1.5,1500.0,1000.0
North Carolina,Chapel Hill,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Some College,1-3 months,1-2,No,7.0,7.0,7.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,1.5,975.0,650.0
North Carolina,Wilmington,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Single,Bachelor Degree,Less than a month,1-2,No,5.0,10.0,10.0,Pay Per Meet (PPM),$800-$899,,sugar_baby,1.5,1275.0,850.0
North Carolina,Raleigh,,26-35,Single,Doctorate,,26-35,Separated,Doctorate,4-6 months,3-4,No,9.0,9.0,7.0,Weekly Allowance,$600-$699,,sugar_baby,3.5,2600.0,742.8571428571429
North Carolina,Charlotte,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Single,Bachelor Degree,1-3 months,3-4,Yes,7.0,6.0,6.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
North Carolina,Charlotte,Latin / Hispanic,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Single,Bachelor Degree,4-6 months,3-4,No,8.0,7.0,9.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
North Carolina,Wilmington,White / Caucasian,26-35,Divorced,Masters,White / Caucasian,56-65,Married,Doctorate,1-3 months,5-6,Yes,10.0,10.0,8.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,5.5,4500.0,818.1818181818181
North Carolina,Raleigh,,26-35,Single,Bachelor Degree,,56-65,Widow,Doctorate,7-9 months,7-8,No,6.0,7.0,9.0,Weekly Allowance,$700-$799,,sugar_baby,7.5,3000.0,400.0
North Carolina,Charlotte,Mixed,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Single,Bachelor Degree,1-3 months,3-4,No,8.0,5.0,8.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
North Carolina,Charlotte,White / Caucasian,18-25,Single,Some College,White / Caucasian,66-75,Widow,Bachelor Degree,Less than a month,3-4,Yes,7.0,5.0,4.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
North Carolina,Wilmington,White / Caucasian,26-35,Divorced,Masters,White / Caucasian,56-65,Married,Doctorate,4-6 months,3-4,Yes,7.0,7.0,6.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,3.5,4500.0,1285.7142857142858
