state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Utah,Salt Lake City,White / Caucasian,46-55,Single,Masters,White / Caucasian,56-65,Married,Doctorate,More than 1 year,5-6,Yes,8.0,7.0,5.0,Monthly Allowance,,"$5k-$5,999",sugar_daddy,5.5,5500.0,1000.0
Utah,Murray,White / Caucasian,26-35,Married,Less than High School,Latin / Hispanic,36-45,Married,Bachelor Degree,More than 1 year,3-4,Yes,3.0,3.0,1.0,Gifts and Experiences,,"$4k-$4,999",sugar_daddy,3.5,4500.0,1285.7142857142858
Utah,Salt Lake City,White / Caucasian,26-35,Single,Some College,East Indian,36-45,Single,Masters,Less than a month,1-2,Yes,5.0,6.0,6.0,Monthly Allowance,,"$1k- $1,999",sugar_daddy,1.5,1500.0,1000.0
Wyoming,Jackson,White / Caucasian,26-35,Single,Masters,White / Caucasian,26-35,Single,Masters,4-6 months,10+,Yes,10.0,10.0,7.0,Monthly Allowance,,$10k or more,sugar_daddy,10.0,10000.0,1000.0
Colorado,Denver,White / Caucasian,46-55,Divorced,Bachelor Degree,White / Caucasian,56-65,Separated,Doctorate,More than 1 year,3-4,Yes,8.0,7.0,5.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,3.5,1575.0,450.0
Nevada,Las vegas,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,66-75,Single,Doctorate,More than 1 year,5-6,Yes,10.0,7.0,8.0,Monthly Allowance,,"$2k-$2,999",sugar_daddy,5.5,2500.0,454.54545454545456
Utah,SLC,White / Caucasian,18-25,Open Relationship,Some College,White / Caucasian,36-45,Separated,Masters,1-3 months,3-4,No,9.0,7.0,10.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,3.5,1575.0,450.0
Colorado,Denver,Latin / Hispanic,26-35,Single,Doctorate,White / Caucasian,36-45,Married,Doctorate,Less than a month,10+,Yes,10.0,10.0,10.0,Weekly Allowance,$3k or more,,sugar_daddy,10.0,14000.0,1400.0
Colorado,Denver,White / Caucasian,26-35,Single,Doctorate,White / Caucasian,36-45,Single,Some College,Less than a month,3-4,Yes,10.0,10.0,10.0,Monthly Allowance,,"$3k-$3,999",sugar_daddy,3.5,3500.0,1000.0
Colorado,Denver,Black/African Descent,18-25,Single,High School Diploma,White / Caucasian,56-65,Open Relationship,Masters,1-3 months,1-2,Yes,3.0,1.0,2.0,Gifts and Experiences,,"$1k- $1,999",sugar_daddy,1.5,1500.0,1000.0
Colorado,Denver,Black/African Descent,36-45,Divorced,High School Diploma,White / Caucasian,56-65,Open Relationship,Masters,Less than a month,3-4,No,8.0,9.0,9.0,Pay Per Meet (PPM),< $300,,sugar_daddy,3.5,525.0,150.0
Colorado,Denver,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,56-65,Open Relationship,Masters,More than 1 year,3-4,Yes,7.0,6.0,4.0,Pay Per Meet (PPM),< $300,,sugar_daddy,3.5,525.0,150.0
